You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.064884, 0.517182, -0.780260, -0.065037, 0.216438, -0.952542, 0.014955, 0.095770, 0.029238, -0.048648, 0.095770, -1.002686
-0.153147, 0.479338, -0.856070, -0.065110, 0.196197, -0.963352, 0.014955, 0.112373, 0.029238, -0.066349, 0.112373, -0.996460
0.001160, 0.378868, -0.877556, -0.060325, 0.177483, -0.970396, 0.014955, 0.105048, 0.029238, -0.057438, 0.105048, -0.996948
-0.058658, -0.001038, -0.867546, -0.063371, 0.163633, -0.976189, 0.014955, 0.101874, 0.029238, -0.059757, 0.101874, -0.993408
0.014955, 0.365928, -0.883172, -0.061442, 0.171220, -0.983569, 0.014955, 0.150705, 0.029238, -0.020082, 0.150705, -1.015138
-0.053287, 0.468840, -0.761460, -0.064762, 0.161588, -0.989971, 0.014955, 0.173289, 0.029238, -0.051456, 0.173289, -1.011231
-0.098456, 0.390954, -0.787585, -0.065574, 0.144491, -1.003022, 0.014955, 0.126900, 0.029238, -0.069523, 0.126900, -1.022462
-0.163645, 0.273393, -0.966429, -0.063285, 0.135281, -1.012812, 0.014955, 0.206739, 0.029238, -0.052677, 0.206739, -0.983397
-0.016053, 0.216871, -0.992065, -0.057383, 0.133346, -1.013191, 0.014955, 0.234694, 0.029238, -0.045596, 0.234694, -0.973997
-0.068669, 0.269609, -0.997681, -0.059006, 0.135738, -1.010749, 0.014955, 0.264726, 0.029238, -0.048526, 0.264726, -0.943234
-0.081121, 0.147165, -1.027834, -0.058970, 0.136642, -1.007111, 0.014955, 0.287676, 0.029238, -0.067936, 0.287676, -0.924922
-0.081731, 0.063786, -1.046145, -0.057285, 0.142105, -1.001428, 0.014955, 0.256424, 0.029238, -0.047427, 0.256424, -0.914179
-0.067570, 0.061466, -1.051395, -0.057218, 0.151108, -0.994330, 0.014955, 0.243850, 0.029238, -0.080388, 0.243850, -0.904169
-0.068791, 0.111274, -1.023317, -0.058433, 0.162589, -0.983599, 0.014955, 0.291094, 0.029238, -0.091864, 0.291094, -0.836782
-0.060490, 0.138986, -0.984130, -0.059458, 0.174852, -0.973009, 0.014955, 0.356528, 0.029238, -0.089300, 0.356528, -0.811512
-0.041323, 0.103217, -1.003662, -0.059385, 0.195068, -0.962070, 0.014955, 0.543307, 0.029238, -0.059025, 0.543307, -0.765367
-0.102606, 0.091864, -1.010255, -0.061893, 0.223427, -0.952536, 0.014955, 0.670390, 0.029238, -0.091497, 0.670390, -0.812977
-0.054752, 0.079290, -1.065556, -0.062138, 0.255289, -0.938509, 0.014955, 0.729109, 0.029238, -0.107489, 0.729109, -0.729720
-0.033022, 0.075993, -1.066044, -0.066239, 0.283654, -0.918147, 0.014955, 0.646585, 0.029238, -0.136788, 0.646585, -0.658304
-0.048648, 0.095770, -1.002686, -0.065190, 0.307050, -0.902558, 0.014955, 0.543917, 0.029238, -0.012025, 0.543917, -0.754257
-0.066349, 0.112373, -0.996460, -0.067283, 0.331649, -0.886272, 0.014955, 0.587743, 0.029238, -0.090521, 0.587743, -0.676982
-0.057438, 0.105048, -0.996948, -0.070573, 0.367869, -0.867832, 0.014955, 0.836782, 0.029238, -0.132149, 0.836782, -0.627663
-0.059757, 0.101874, -0.993408, -0.076799, 0.406751, -0.846011, 0.014955, 0.882683, 0.029238, -0.181957, 0.882683, -0.560520
-0.020082, 0.150705, -1.015138, -0.075591, 0.445748, -0.823829, 0.014955, 0.881829, 0.029238, -0.035586, 0.881829, -0.549777
-0.051456, 0.173289, -1.011231, -0.075291, 0.482341, -0.802673, 0.014955, 0.882561, 0.029238, -0.014100, 0.882561, -0.592016
-0.069523, 0.126900, -1.022462, -0.079143, 0.517768, -0.777092, 0.014955, 0.881829, 0.029238, -0.128487, 0.881829, -0.499603
-0.052677, 0.206739, -0.983397, -0.080590, 0.551254, -0.748312, 0.014955, 0.796618, 0.029238, -0.098456, 0.796618, -0.446866
-0.045596, 0.234694, -0.973997, -0.081145, 0.584911, -0.717158, 0.014955, 0.879875, 0.029238, -0.063786, 0.879875, -0.360313
-0.048526, 0.264726, -0.943234, -0.081487, 0.617359, -0.677544, 0.014955, 0.883660, 0.029238, -0.052432, 0.883660, -0.181713
-0.067936, 0.287676, -0.924922, -0.081353, 0.650351, -0.640951, 0.014955, 0.924556, 0.029238, -0.045840, 0.924556, -0.211378
-0.047427, 0.256424, -0.914179, -0.084221, 0.675474, -0.604608, 0.014955, 0.790148, 0.029238, -0.125313, 0.790148, -0.198071
